property_type,price_aprox_usd,surface_covered_in_m2,state,lat,lon
apartment,289775.66,54.0,Distrito Federal,23.634501,-102.552788
house,79661.96,80.0,Distrito Federal,19.31033,-99.068557
apartment,48822.82,100.0,Distrito Federal,19.279771,-99.234597
apartment,337720.36,135.0,Distrito Federal,23.634501,-102.552788
apartment,875000.0,263.0,Quintana Roo,21.1902642,-86.8198375
apartment,232663.51,87.0,Distrito Federal,19.432657,-99.177444
apartment,166001.78,100.0,Distrito Federal,19.367025,-99.170349
house,109939.09,205.0,Distrito Federal,19.340909,-99.22511
house,84298.37,144.0,Distrito Federal,19.509359,-99.093272
house,342462.14,350.0,Quintana Roo,21.119158,-86.84693
house,231775.37,304.0,Distrito Federal,19.432901,-99.213075
apartment,94022.66,57.0,Distrito Federal,23.634501,-102.552788
apartment,300000.0,160.0,Quintana Roo,20.4987828982,-87.2228193283
apartment,172446.86,83.0,Distrito Federal,19.3794059,-99.1591446
apartment,66384.96,103.0,Distrito Federal,19.36269,-99.150565
apartment,115000.0,49.0,Quintana Roo,21.0511211635,-86.7828512192
house,257634.76,530.0,Distrito Federal,19.452952,-99.158166
house,37229.03,90.0,Distrito Federal,19.342911,-99.224472
house,117490.85,120.0,Distrito Federal,19.491083,-99.07564
apartment,70880.12,56.0,Distrito Federal,19.4024128,-99.0953907
apartment,68228.99,80.0,Distrito Federal,19.35782,-99.149406
apartment,24235.78,60.0,Distrito Federal,19.504985,-99.208557
apartment,258163.77,120.0,Distrito Federal,19.376792,-99.153132
apartment,30558.16,99.0,Quintana Roo,21.1541659192,-86.8471578694
house,89567.02,220.0,Distrito Federal,19.433895,-99.091159
apartment,94140.2,50.0,Distrito Federal,19.354219,-99.126244
apartment,34879.76,16.0,Distrito Federal,19.439716,-99.152892
house,37223.0,90.0,Distrito Federal,19.543273,-99.148777
house,131747.44,150.0,Distrito Federal,19.2690778853,-99.2035388947
apartment,1750000.0,734.0,Distrito Federal,19.420166,-99.220367
apartment,142200.81,90.0,Distrito Federal,19.367728,-99.156645
apartment,76395.4,90.0,Distrito Federal,19.400785,-99.147419
apartment,1125000.0,260.0,Distrito Federal,19.430456,-99.1889121
apartment,149438.25,130.0,Distrito Federal,19.2745241,-99.1515694
apartment,222389.68,0.0,Distrito Federal,19.376482,-99.2587951
apartment,258163.77,190.0,Distrito Federal,19.375658,-99.186109
house,305654.07,263.0,Distrito Federal,19.307427366,-99.1170322895
apartment,93311.24,114.0,Distrito Federal,19.39177,-99.159996
apartment,40103.52,65.0,Distrito Federal,19.366632,-99.1979
house,65873.72,99.0,Quintana Roo,21.161908,-86.8515279
apartment,1146320.0,89.5,Distrito Federal,19.430456,-99.1889121
apartment,68070.93,80.0,Distrito Federal,19.400731,-99.125466
apartment,350000.0,64.0,Solidaridad,20.627081,-87.068985
house,779759.96,804.0,Distrito Federal,19.519724,-99.14607
house,116437.12,445.0,Distrito Federal,19.469479,-99.104805
apartment,39409.48,61.0,Distrito Federal,19.337163,-99.080899
apartment,68666.76,117.0,Quintana Roo,20.65231,-87.092578
house,197574.31,124.0,Distrito Federal,19.279143,-99.130161
house,49999.47,60.0,Distrito Federal,19.361606,-99.201739
apartment,553339.27,320.0,Distrito Federal,19.390415,-99.254997
apartment,38987.99,260.0,Distrito Federal,19.4517419505,-99.1570790112
house,176499.72,200.0,Distrito Federal,19.374413,-99.105499
apartment,1053979.56,190.0,Distrito Federal,19.430456,-99.1889121
apartment,44794.13,55.0,Distrito Federal,19.435666,-99.14973
house,202842.96,200.0,Distrito Federal,19.412011,-99.106233
apartment,207057.88,180.0,Distrito Federal,19.41498,-99.177444
apartment,246572.74,120.0,Distrito Federal,19.393401,-99.165187
house,143236.95,90.0,Distrito Federal,19.276603,-99.137819
apartment,112046.55,112.0,Distrito Federal,19.431629,-99.162762
apartment,53399.87,60.0,Distrito Federal,19.2990233,-99.0436467
apartment,35847.88,65.0,Distrito Federal,19.453854,-99.193979
house,94858.16,200.0,Distrito Federal,19.3383626772,-99.0706713125
apartment,1478500.0,300.0,Quintana Roo,20.6523823712,-87.0461797714
apartment,29962.59,60.0,Distrito Federal,19.458968,-99.152898
house,70562.42,131.0,Distrito Federal,19.345087,-99.10273
apartment,168596.74,90.0,Distrito Federal,19.394073,-99.153915
house,52264.99,70.0,Distrito Federal,19.346749,-99.145944
apartment,35984.86,65.0,Distrito Federal,19.332034,-99.062028
house,168636.73,264.0,Distrito Federal,19.381207,-99.0978814
house,490100.49,900.0,Quintana Roo,21.1199835722,-86.8363599075
house,204493.78,287.0,Distrito Federal,19.3398,-99.215945
apartment,492618.62,159.0,Distrito Federal,19.3753948137,-99.1657587614
apartment,16967.15,50.0,Distrito Federal,19.305214,-99.046887
apartment,123813.23,147.0,Distrito Federal,19.387245,-99.147388
apartment,105794.45,63.0,Distrito Federal,19.366081,-99.139389
house,4000000.0,451.0,Distrito Federal,19.420166,-99.220367
apartment,37196.65,64.0,Distrito Federal,19.370272,-99.149127
apartment,204950.0,62.0,Quintana Roo,20.6546691,-87.0540165
house,84298.37,180.0,Quintana Roo,21.129547,-86.817017
house,77169.89,208.0,Distrito Federal,19.366935,-99.077541
apartment,79820.02,70.0,Distrito Federal,19.386715,-99.143999
house,379342.68,420.0,Distrito Federal,19.367827,-99.289665
apartment,29969.69,70.0,Distrito Federal,19.458968,-99.152898
house,822051.36,530.0,Distrito Federal,19.3641188,-99.2640457
apartment,68228.99,70.0,Distrito Federal,19.445471,-99.17317
apartment,71975.74,119.0,Quintana Roo,20.6543977622,-87.0861594379
apartment,52440.59,70.0,Distrito Federal,19.443903,-99.171681
apartment,182000.0,0.0,Solidaridad,20.620914,-87.075059
apartment,58990.79,100.0,Distrito Federal,19.314831,-99.140445
house,289775.66,310.0,Distrito Federal,19.464928,-99.180214
apartment,62644.22,86.0,Distrito Federal,19.317741,-99.119331
house,161220.64,200.0,Distrito Federal,19.367477,-99.222025
apartment,107347.81,80.0,Distrito Federal,19.305984,-99.127341
apartment,76940.5,60.0,Distrito Federal,19.365843,-99.149901
house,711267.53,650.0,Distrito Federal,19.401079,-99.24807
house,188038.06,250.0,Distrito Federal,19.383751,-99.071318
house,63223.78,110.0,Zacatecas,23.634501,-102.552788
apartment,79029.72,80.0,Distrito Federal,19.365843,-99.149901
house,468909.7,515.0,Quintana Roo,21.1070511,-86.8468159
apartment,68597.8,90.0,Distrito Federal,19.399841,-99.154813
house,147557.13,180.0,Quintana Roo,21.149599,-86.8317228
apartment,89588.26,80.0,Quintana Roo,21.1902642,-86.8198375
apartment,155425.12,73.0,Distrito Federal,19.394073,-99.153915
house,61906.61,90.0,Distrito Federal,19.363498,-99.015615
house,342543.35,387.0,Distrito Federal,19.3012112,-99.1290556
apartment,55847.67,70.0,Distrito Federal,19.465454,-99.162665
apartment,156444.61,52.0,Distrito Federal,19.405298,-99.164986
house,210745.93,71.0,Distrito Federal,19.3073868643,-99.104847014
apartment,158059.45,90.0,Distrito Federal,23.634501,-102.552788
apartment,61864.46,69.0,Distrito Federal,19.334546,-99.207876
house,249266.16,985.0,Distrito Federal,19.286214,-99.222026
house,208111.61,311.0,Distrito Federal,19.271181,-99.137314
apartment,151773.05,0.0,Distrito Federal,19.4233932,-99.1682732
house,2160658.1,1050.0,Distrito Federal,19.390415,-99.254997
apartment,131905.54,69.0,Distrito Federal,19.403312,-99.151204
apartment,37039.91,70.0,Distrito Federal,19.376392,-99.192439
house,126447.56,187.0,Distrito Federal,19.390301,-99.11161
house,135430.6,250.0,Distrito Federal,19.373264,-99.104161
apartment,41358.15,80.0,Distrito Federal,19.416439,-99.125632
house,114593.1,150.0,Distrito Federal,19.271242,-99.160156
house,105397.95,180.0,Quintana Roo,21.1545808,-86.8523054
apartment,91147.61,70.0,Distrito Federal,19.401456,-99.146787
house,19005.85,65.0,Distrito Federal,19.326115,-99.109844
apartment,47376.38,54.0,Distrito Federal,19.4045899,-99.0601489
apartment,258224.99,84.0,Distrito Federal,19.4169673,-99.1658498
house,102763.0,269.0,Quintana Roo,21.164824,-86.8327018
apartment,197574.31,97.0,Distrito Federal,19.400249,-99.177444
apartment,99530.03,62.0,Distrito Federal,19.4553585442,-99.1632923484
apartment,79556.59,90.0,Distrito Federal,19.440749,-99.141649
apartment,77141.75,90.0,Distrito Federal,19.484532,-99.207027
apartment,44730.82,46.0,Distrito Federal,19.410307,-99.065399
apartment,168596.74,97.0,Distrito Federal,19.379376,-99.165182
apartment,52686.48,98.0,Distrito Federal,19.389044,-99.179657
house,212482.27,150.0,Distrito Federal,19.274141,-99.166374
apartment,123813.23,110.0,Distrito Federal,19.478473,-99.120734
apartment,129655.0,98.0,Distrito Federal,19.469769,-99.157379
house,200208.63,184.0,Distrito Federal,19.2801195,-99.2137844
apartment,66455.88,85.0,Distrito Federal,19.452143,-99.181477
apartment,1350000.0,350.0,Distrito Federal,19.4011351582,-99.2554439631
house,97996.85,2.0,Distrito Federal,19.4510306354,-99.065538235
apartment,147557.13,65.0,Distrito Federal,19.3499358,-99.2906864
house,83211.68,138.0,Quintana Roo,20.6572413506,-87.094373703
apartment,283453.28,287.0,Distrito Federal,19.43475,-99.189814
apartment,154724.19,74.0,Distrito Federal,19.3807458,-99.1553016
house,289844.37,350.0,Quintana Roo,21.082655,-86.857162
apartment,79626.82,351.0,Distrito Federal,19.445742,-99.159469
apartment,94858.16,64.0,Distrito Federal,19.386551,-99.193708
apartment,76395.4,64.0,Distrito Federal,19.466822,-99.157379
apartment,108475.57,63.0,Distrito Federal,19.370501,-99.139389
apartment,180230.5,150.0,Distrito Federal,19.382986,-99.241837
apartment,197574.31,203.0,Quintana Roo,21.051662,-86.852967
house,1577960.19,1084.0,Distrito Federal,19.326543,-99.195963
house,26870.1,100.0,Distrito Federal,19.383948,-99.067884
house,403854.93,368.0,Distrito Federal,19.2707122505,-99.1396721452
house,76131.96,144.0,Distrito Federal,19.4548897,-99.0538781
apartment,52686.48,10.0,Distrito Federal,19.417028,-99.065176
apartment,31822.63,75.0,Distrito Federal,19.462425,-99.17654
apartment,55252.24,302.0,Distrito Federal,19.306092,-99.113431
house,179134.04,80.0,Distrito Federal,19.286214,-99.222026
apartment,106918.42,105.0,Distrito Federal,19.408904,-99.174556
apartment,1895989.0,498.0,Quintana Roo,21.0906563,-86.7717484
house,125393.83,250.0,Distrito Federal,19.337902,-99.236776
apartment,800000.0,446.0,Distrito Federal,19.390415,-99.254997
house,136405.3,290.0,Distrito Federal,19.353288,-99.244721
apartment,71126.75,75.0,Distrito Federal,19.474885,-99.188231
apartment,30716.22,56.0,Distrito Federal,19.36994,-99.007399
apartment,225450.73,93.0,Distrito Federal,19.358585,-99.185753
apartment,141683.33,300.0,Distrito Federal,19.337013,-99.197613
apartment,54899.31,70.0,Distrito Federal,19.379525,-99.188914
apartment,407919.0,213.0,Quintana Roo,21.1651106632,-86.8201701343
house,297678.63,380.0,Quintana Roo,21.1095243506,-86.8429112434
apartment,68070.93,80.0,Distrito Federal,19.400731,-99.125466
apartment,262177.41,179.0,Quintana Roo,21.1902642,-86.8198375
apartment,274732.59,154.5,Distrito Federal,19.390283,-99.1770974
apartment,325000.0,130.0,Quintana Roo,20.2024604644,-87.4630379677
apartment,213430.86,110.0,Distrito Federal,19.4124708,-99.1717827
apartment,89830.45,44.0,Distrito Federal,19.3563182,-99.2882606
house,580970.32,307.0,Distrito Federal,19.371502,-99.232647
house,131747.44,210.0,Quintana Roo,21.1543341422,-86.8512002751
apartment,175231.55,80.0,Distrito Federal,19.428324,-99.176337
house,217506.23,176.0,Distrito Federal,19.272594,-99.137045
house,200998.93,123.0,Distrito Federal,19.2981344924,-99.2395804077
apartment,45837.24,70.0,Distrito Federal,19.480501,-99.178139
house,147522.15,110.0,Distrito Federal,19.472634,-99.197437
apartment,62170.05,81.0,Distrito Federal,23.634501,-102.552788
house,79822.08,496.0,Distrito Federal,19.352528,-99.217276
apartment,98523.72,78.0,Distrito Federal,19.402752,-99.098587
apartment,75375.18,90.0,Distrito Federal,19.465454,-99.162665
apartment,421591.82,175.0,Distrito Federal,19.4114169,-99.1739405
apartment,223970.65,108.0,Distrito Federal,19.3853063,-99.1521292
apartment,49419.92,48.0,Distrito Federal,19.414261,-99.104118
house,113302.8,145.0,Quintana Roo,20.6384345312,-87.0732097328
apartment,440942.03,255.0,Distrito Federal,19.443152,-99.202733
apartment,73761.07,42.0,Distrito Federal,19.364996,-99.241523
apartment,106918.42,105.0,Distrito Federal,19.408904,-99.174556
apartment,55268.12,95.0,Distrito Federal,19.290953,-99.124863
house,55162.74,154.0,Distrito Federal,19.336441,-99.010132
apartment,420000.0,200.0,Quintana Roo,21.1279956,-86.7644738
house,173865.39,275.0,Quintana Roo,21.129547,-86.817017
apartment,334559.17,168.0,Distrito Federal,19.3609784,-99.2084005
house,156779.46,140.0,Distrito Federal,19.2865191,-99.2283274
apartment,73761.07,137.0,Distrito Federal,19.418048,-99.158527
apartment,495463.43,288.0,Distrito Federal,19.443178,-99.20237
house,115462.42,130.0,Distrito Federal,19.281164,-99.20237
house,3350000.0,1200.0,Distrito Federal,19.4122137,-99.2153341
apartment,31875.32,70.0,Distrito Federal,19.405883,-99.183079
apartment,549000.0,234.0,Quintana Roo,21.116732,-86.768234
apartment,42823.57,70.0,Distrito Federal,19.471896,-99.224024
house,81664.04,0.0,Quintana Roo,21.139086,-86.84964
house,426861.72,395.0,Quintana Roo,20.6764114797,-87.0514203197
apartment,52698.97,63.0,Distrito Federal,19.309208,-99.171906
house,73778.56,252.0,Distrito Federal,19.354297,-98.9978448
house,260798.09,260.0,Distrito Federal,19.306892,-99.105556
apartment,47681.26,60.0,Distrito Federal,19.304501,-99.123121
apartment,157690.64,75.0,Distrito Federal,19.39365,-99.14769
apartment,241936.33,64.0,Distrito Federal,19.409369,-99.171906
apartment,66384.96,75.0,Distrito Federal,19.36269,-99.150565
apartment,252895.12,150.0,Distrito Federal,19.3392293,-99.2189838
house,1132759.4,682.0,Distrito Federal,19.395424,-99.258068
apartment,131716.2,208.0,Distrito Federal,19.464712,-99.124872
apartment,350000.0,221.0,Solidaridad,19.993998,-87.1875
apartment,89514.33,51.0,Distrito Federal,19.400097,-99.122093
apartment,165962.42,97.0,Distrito Federal,19.367025,-99.170349
apartment,76614.89,75.0,Distrito Federal,19.484532,-99.207027
apartment,69546.15,65.0,Distrito Federal,19.278198,-99.200831
house,94835.67,300.0,Quintana Roo,23.634501,-102.552788
house,231875.5,450.0,Distrito Federal,19.3972156,-99.0648632
apartment,38039.64,74.0,Distrito Federal,19.383251,-99.105499
apartment,52067.41,75.0,Distrito Federal,19.461871,-99.129227
apartment,74498.68,60.0,Distrito Federal,19.422398,-99.167129
apartment,289844.37,164.0,Distrito Federal,19.41498,-99.177444
apartment,85000.0,39.0,Quintana Roo,21.137383,-86.768717
apartment,106061.54,63.0,Distrito Federal,19.303736,-99.163605
house,131716.2,200.0,Quintana Roo,21.0958115744,-86.8690896034
apartment,39585.14,75.0,Distrito Federal,19.453513,-99.210223
house,86405.83,120.0,Quintana Roo,20.6140672951,-87.1172904968
house,207057.88,159.0,Distrito Federal,19.3026056362,-99.2058026791
house,173906.62,198.0,Distrito Federal,19.3661948918,-99.1211414337
apartment,180187.77,120.0,Distrito Federal,19.365766,-99.263112
apartment,34720.39,50.0,Distrito Federal,19.439037,-99.119514
house,1185727.0,600.0,Distrito Federal,19.4010793,-99.2480728
house,40683.61,82.0,Quintana Roo,21.139086,-86.84964
house,161220.64,300.0,Distrito Federal,19.367477,-99.222025
apartment,47417.83,66.0,Distrito Federal,19.384327,-99.215523
